"","player","salary_rank","salary","roster_number","position","height","weight","birthday","country","experience","college","stat_rank","age","games","games_started","minutes_played","field_goals","field_goal_attempts","field_goal_pct","3_points","3_point_attempts","3_point_pct","2_points","2_point_attempts","2_point_pct","eff_field_goal_pct","free_throws","free_throw_attempts","free_throw_pct","offensive_rebounds","defensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","personal_fouls","points","team_name"
"117","Cameron Bairstow",14,845059,41,"C",81,250,1990-12-07,"au","1","University of New Mexico",16,25,18,2,103,13,40,0.325,1,5,0.2,12,35,0.343,0.338,7,8,0.875,4,24,28,6,2,3,4,19,34,"CHI"
"118","Cristiano Felicio",15,525090,6,"C",82,275,1992-07-07,"br","R","",15,23,31,4,321,40,72,0.556,0,4,0,40,68,0.588,0.556,25,35,0.714,30,72,102,26,6,13,13,31,105,"CHI"
"119","Derrick Rose",1,20093063,1,"PG",75,190,1988-10-04,"us","6","University of Memphis",3,27,66,66,2097,447,1048,0.427,44,150,0.293,403,898,0.449,0.448,142,179,0.793,46,179,225,311,44,14,175,84,1080,"CHI"
"120","Doug McDermott",8,2380440,3,"SF",80,225,1992-01-03,"us","1","Creighton University",5,24,81,4,1861,291,644,0.452,110,259,0.425,181,385,0.47,0.537,72,84,0.857,37,158,195,59,14,6,53,127,764,"CHI"
"121","E'Twaun Moore",12,1015421,55,"SG",76,191,1989-02-28,"us","4","Purdue University",8,26,59,22,1263,187,389,0.481,47,104,0.452,140,285,0.491,0.541,22,35,0.629,19,114,133,99,37,18,53,103,443,"CHI"
"122","Jimmy Butler",2,15260000,21,"SG",79,220,1989-09-14,"us","4","Marquette University",1,26,67,67,2474,470,1035,0.454,64,205,0.312,406,830,0.489,0.485,395,475,0.832,79,279,358,321,110,43,132,124,1399,"CHI"
"123","Joakim Noah",3,13400000,13,"C",83,230,1985-02-25,"us","8","University of Florida",12,30,29,2,635,51,133,0.383,0,1,0,51,132,0.386,0.383,22,45,0.489,87,168,255,110,18,29,52,77,124,"CHI"
"124","Justin Holiday",13,947300,7,"SG",78,185,1989-04-05,"us","2","University of Washington",14,26,27,4,510,64,155,0.413,26,60,0.433,38,95,0.4,0.497,22,27,0.815,8,55,63,45,19,15,26,40,176,"CHI"
"125","Mike Dunleavy",7,4500000,34,"SF",81,230,1980-09-15,"us","13","Duke University",11,35,31,30,703,77,188,0.41,39,99,0.394,38,89,0.427,0.513,29,37,0.784,8,75,83,39,14,10,26,66,222,"CHI"
"126","Nikola Mirotic",6,5543725,44,"PF",82,220,1991-02-11,"me","1","",6,24,66,38,1646,248,609,0.407,135,346,0.39,113,263,0.43,0.518,146,181,0.807,58,304,362,100,58,46,102,151,777,"CHI"
"127","Pau Gasol",5,7448760,16,"C",84,250,1980-07-06,"es","14","",2,35,72,72,2291,467,995,0.469,24,69,0.348,443,926,0.478,0.481,229,289,0.792,155,638,793,294,42,146,164,148,1187,"CHI"
"128","Taj Gibson",4,8500000,22,"PF",81,225,1985-06-24,"us","6","University of Southern California",4,30,73,55,1936,263,500,0.526,0,3,0,263,497,0.529,0.526,101,146,0.692,206,298,504,106,47,77,78,180,627,"CHI"
"129","Tony Snell",10,1535880,20,"SF",79,200,1991-11-10,"us","2","University of New Mexico",7,24,64,33,1301,126,339,0.372,56,155,0.361,70,184,0.38,0.454,30,33,0.909,19,180,199,63,16,17,52,100,338,"CHI"
"130","Alan Anderson",9,4e+06,6,"SG",78,220,1982-10-16,"us","6","Michigan State University",16,33,13,0,192,21,59,0.356,12,37,0.324,9,22,0.409,0.458,11,15,0.733,1,26,27,14,4,1,2,25,65,"WAS"
"131","Bradley Beal",5,5694674,3,"SG",77,207,1993-06-28,"us","3","University of Florida",6,22,55,35,1708,359,799,0.449,105,271,0.387,254,528,0.481,0.515,135,176,0.767,41,147,188,162,54,11,112,117,958,"WAS"
"132","Drew Gooden",10,3300000,90,"PF",82,250,1981-09-24,"us","13","University of Kansas",13,34,30,0,305,33,103,0.32,7,41,0.171,26,62,0.419,0.354,9,14,0.643,28,57,85,13,8,11,13,40,82,"WAS"
"133","Garrett Temple",14,1100602,17,"SF",78,195,1986-05-08,"us","5","Louisiana State University",5,29,80,43,1951,201,505,0.398,89,258,0.345,112,247,0.453,0.486,91,125,0.728,36,176,212,140,69,18,64,195,582,"WAS"
"134","Gary Neal",12,2100000,14,"SG",76,210,1984-10-03,"us","5","Towson University",9,31,40,2,807,151,325,0.465,41,100,0.41,110,225,0.489,0.528,47,55,0.855,11,72,83,47,20,1,29,55,390,"WAS"
"135","Jared Dudley",8,4250000,1,"PF",79,225,1985-07-10,"us","8","Boston College",4,30,81,41,2098,233,487,0.478,100,238,0.42,133,249,0.534,0.581,72,98,0.735,54,232,286,170,75,18,80,190,638,"WAS"
"136","Jarell Eddie",15,561716,8,"SF",79,218,1991-10-30,"us","R","Virginia Polytechnic Institute and State University",17,24,26,0,147,20,65,0.308,15,47,0.319,5,18,0.278,0.423,8,8,1,2,21,23,5,5,1,1,5,63,"WAS"
"137","John Wall",1,15851950,2,"PG",76,195,1990-09-06,"us","5","University of Kentucky",1,25,77,77,2784,572,1349,0.424,115,328,0.351,457,1021,0.448,0.467,272,344,0.791,42,337,379,789,145,59,318,159,1531,"WAS"
"138","Kelly Oubre",13,1920240,12,"SF",79,205,1995-12-09,"us","R","University of Kansas",11,20,63,9,671,90,211,0.427,25,79,0.316,65,132,0.492,0.486,31,49,0.633,25,108,133,13,22,7,34,100,236,"WAS"
"139","Marcin Gortat",3,11217391,13,"C",83,240,1984-02-17,"pl","8","",3,31,75,74,2256,433,764,0.567,0,1,0,433,763,0.567,0.567,146,207,0.705,222,519,741,106,47,96,121,193,1012,"WAS"
"140","Markieff Morris",4,8e+06,5,"PF",82,245,1989-09-02,"us","4","University of Kansas",10,26,27,21,712,134,287,0.467,25,79,0.316,109,208,0.524,0.51,42,55,0.764,30,128,158,37,25,17,45,80,335,"WAS"
"141","Nene Hilario",2,1.3e+07,42,"PF",83,250,1982-09-13,"br","13","",8,33,57,11,1094,209,384,0.544,0,3,0,209,381,0.549,0.544,107,185,0.578,52,207,259,97,54,26,76,156,525,"WAS"
"142","Otto Porter",7,4662960,22,"SF",80,198,1993-06-03,"us","2","Georgetown University",2,22,75,73,2276,339,717,0.473,98,267,0.367,241,450,0.536,0.541,95,126,0.754,97,294,391,120,105,32,70,163,871,"WAS"
"143","Ramon Sessions",11,2170465,7,"PG",75,190,1986-04-11,"us","8","University of Nevada, Reno",7,29,82,5,1667,280,592,0.473,36,111,0.324,244,481,0.507,0.503,214,283,0.756,25,178,203,239,46,5,115,102,810,"WAS"
"144","Aaron Gordon",7,4171680,0,"PF",81,220,1995-09-16,"us","1","University of Arizona",5,20,78,37,1863,274,579,0.473,42,142,0.296,232,437,0.531,0.509,129,193,0.668,154,353,507,128,59,55,66,153,719,"ORL"
"145","Andrew Nicholson",10,2380594,44,"PF",81,250,1989-12-08,"ca","3","St. Bonaventure University",9,26,56,0,823,146,310,0.471,41,114,0.36,105,196,0.536,0.537,51,65,0.785,34,167,201,25,10,22,41,69,384,"ORL"
"146","Brandon Jennings",2,8344497,55,"PG",73,170,1989-09-23,"us","6","",14,26,25,6,452,59,161,0.366,27,78,0.346,32,83,0.386,0.45,30,40,0.75,11,39,50,100,18,5,35,33,175,"ORL"
"147","C.J. Watson",5,5e+06,32,"PG",74,175,1984-04-17,"us","8","University of Tennessee",12,31,33,2,656,47,137,0.343,14,48,0.292,33,89,0.371,0.394,34,39,0.872,10,56,66,88,19,5,25,49,142,"ORL"
"148","Devyn Marble",16,845059,11,"SG",78,200,1992-09-21,"us","1","University of Iowa",16,23,28,0,249,21,71,0.296,8,32,0.25,13,39,0.333,0.352,10,24,0.417,6,32,38,12,13,1,7,25,60,"ORL"
"149","Dewayne Dedmon",15,947278,3,"C",84,245,1989-08-12,"us","2","University of Southern California",11,26,58,20,705,99,177,0.559,0,0,NA,99,177,0.559,0.559,57,76,0.75,67,161,228,13,22,46,32,109,255,"ORL"
"150","Elfrid Payton",9,2505720,4,"PG",76,185,1994-02-22,"us","1","University of Louisiana at Lafayette",3,21,73,69,2145,318,730,0.436,30,92,0.326,288,638,0.451,0.456,112,190,0.589,77,184,261,468,89,20,177,159,778,"ORL"
"151","Ersan Ilyasova",3,7900000,7,"PF",82,235,1987-05-15,"tr","7","",15,28,22,4,447,64,153,0.418,18,44,0.409,46,109,0.422,0.477,32,45,0.711,45,76,121,12,14,6,12,51,178,"ORL"
"152","Evan Fournier",11,2288205,10,"SF",79,205,1992-10-29,"fr","3","",1,23,79,71,2566,429,929,0.462,156,390,0.4,273,539,0.506,0.546,199,238,0.836,33,192,225,213,96,2,133,214,1213,"ORL"
"153","Jason Smith",6,4300000,14,"C",84,245,1986-03-02,"us","7","Colorado State University",8,29,76,2,1181,244,503,0.485,4,16,0.25,240,487,0.493,0.489,54,67,0.806,53,166,219,62,33,65,57,163,546,"ORL"
"154","Keith Appling",18,161776,15,"PG",73,185,1992-02-13,"us","R","Michigan State University",17,23,5,0,27,2,8,0.25,0,3,0,2,5,0.4,0.25,2,2,1,0,1,1,1,1,0,3,5,6,"ORL"
"155","Mario Hezonja",8,3741480,23,"SF",80,215,1995-02-25,"hr","R","",7,20,79,9,1413,181,418,0.433,67,192,0.349,114,226,0.504,0.513,49,54,0.907,28,148,176,109,39,17,97,124,478,"ORL"
"156","Nikola Vucevic",1,11250000,9,"C",84,260,1990-10-24,"ch","4","University of Southern California",4,25,65,60,2037,533,1046,0.51,2,9,0.222,531,1037,0.512,0.511,113,150,0.753,174,402,576,179,53,70,123,173,1181,"ORL"
"157","Shabazz Napier",12,1294440,13,"PG",73,175,1991-07-14,"us","1","University of Connecticut",13,24,55,0,600,68,201,0.338,34,104,0.327,34,97,0.351,0.423,33,45,0.733,9,46,55,97,23,1,46,38,203,"ORL"
"158","Victor Oladipo",4,5192520,5,"SG",76,210,1992-05-04,"us","2","Indiana University",2,23,72,52,2379,425,970,0.438,98,282,0.348,327,688,0.475,0.489,205,247,0.83,48,297,345,282,116,54,153,174,1153,"ORL"
"159","Damien Inglis",14,855000,17,"SF",80,246,1995-05-20,"gf","R","",15,20,20,1,156,13,37,0.351,3,13,0.231,10,24,0.417,0.392,7,8,0.875,2,29,31,10,6,3,11,11,36,"MIL"
"160","Giannis Antetokounmpo",10,1953960,34,"PG",83,222,1994-12-06,"gr","2","",2,21,80,79,2823,513,1013,0.506,28,109,0.257,485,904,0.537,0.52,296,409,0.724,113,499,612,345,94,113,208,258,1350,"MIL"
"161","Greg Monroe",1,16400000,15,"C",83,265,1990-06-04,"us","5","Georgetown University",4,25,79,67,2314,491,941,0.522,0,1,0,491,940,0.522,0.522,228,308,0.74,218,478,696,178,72,67,129,163,1210,"MIL"
"162","Greivis Vasquez",4,6600000,21,"PG",78,217,1987-01-16,"ve","5","University of Maryland",13,29,23,0,460,45,138,0.326,18,73,0.247,27,65,0.415,0.391,22,26,0.846,5,42,47,91,10,0,40,42,130,"MIL"
"163","Jabari Parker",5,5152440,12,"PF",80,250,1995-03-15,"us","1","Duke University",3,20,76,72,2408,443,899,0.493,9,35,0.257,434,864,0.502,0.498,175,228,0.768,123,272,395,130,69,29,116,154,1070,"MIL"
"164","Jared Cunningham",17,57726,9,"SG",76,195,1991-05-22,"us","3","Oregon State University",16,24,4,0,55,4,14,0.286,2,7,0.286,2,7,0.286,0.357,6,7,0.857,0,9,9,1,2,0,3,4,16,"MIL"
"165","Jerryd Bayless",6,3e+06,19,"SG",75,200,1988-08-20,"us","7","University of Arizona",6,27,52,18,1505,185,437,0.423,101,231,0.437,84,206,0.408,0.539,70,90,0.778,21,120,141,163,47,11,73,111,541,"MIL"
"166","John Henson",7,2943221,31,"C",83,229,1990-12-28,"us","3","University of North Carolina",9,25,57,1,960,164,291,0.564,0,1,0,164,290,0.566,0.564,69,117,0.59,87,134,221,54,18,109,64,131,397,"MIL"
"167","Johnny O'Bryant",15,845059,77,"PF",81,257,1993-06-01,"us","1","Louisiana State University",11,22,66,4,857,86,209,0.411,1,1,1,85,208,0.409,0.414,27,40,0.675,65,111,176,32,18,8,31,100,200,"MIL"
"168","Khris Middleton",2,1.5e+07,22,"SG",80,234,1991-08-12,"us","3","Texas A&M University",1,24,79,79,2852,507,1142,0.444,143,361,0.396,364,781,0.466,0.507,277,312,0.888,44,258,302,331,131,19,180,204,1434,"MIL"
"169","Michael Carter-Williams",8,2399040,5,"PG",78,190,1991-10-10,"us","2","Syracuse University",5,24,54,37,1649,251,555,0.452,15,55,0.273,236,500,0.472,0.466,106,162,0.654,48,228,276,281,80,41,153,162,623,"MIL"
"170","Miles Plumlee",9,2109294,18,"C",83,249,1988-09-01,"us","3","Duke University",10,27,61,14,870,140,233,0.601,0,0,NA,140,233,0.601,0.601,34,59,0.576,94,138,232,16,21,50,40,73,314,"MIL"
"171","O.J. Mayo",3,8e+06,3,"SG",77,210,1987-11-05,"us","7","University of Southern California",7,28,41,24,1090,119,321,0.371,52,162,0.321,67,159,0.421,0.452,31,40,0.775,13,92,105,118,48,8,72,126,321,"MIL"
"172","Rashad Vaughn",12,1733040,20,"SG",78,202,1996-08-16,"us","R","University of Nevada, Las Vegas",8,19,70,6,1001,81,266,0.305,43,147,0.293,38,119,0.319,0.385,12,15,0.8,11,77,88,39,29,16,28,73,217,"MIL"
"173","Steve Novak",16,416886,6,"PF",82,225,1983-06-13,"us","9","Marquette University",17,32,3,0,20,2,6,0.333,2,6,0.333,0,0,NA,0.5,1,1,1,0,1,1,0,0,0,0,2,7,"MIL"
"174","Tyler Ennis",13,1662360,11,"PG",75,194,1994-08-24,"ca","1","Syracuse University",12,21,46,7,654,84,187,0.449,13,39,0.333,71,148,0.48,0.484,25,34,0.735,13,62,75,95,25,1,46,64,206,"MIL"
"175","Arron Afflalo",3,8e+06,4,"SG",77,210,1985-10-15,"us","8","University of California, Los Angeles",2,30,71,57,2371,354,799,0.443,91,238,0.382,263,561,0.469,0.5,110,131,0.84,23,243,266,144,25,10,82,142,909,"NYK"
"176","Carmelo Anthony",1,22875000,7,"SF",80,240,1984-05-29,"us","12","Syracuse University",1,31,72,72,2530,567,1307,0.434,105,310,0.339,462,997,0.463,0.474,334,403,0.829,98,458,556,299,62,38,176,180,1573,"NYK"
"177","Cleanthony Early",13,845059,11,"SF",80,210,1991-04-17,"us","1","Wichita State University",14,24,17,2,154,12,40,0.3,4,15,0.267,8,25,0.32,0.35,3,4,0.75,4,22,26,6,2,3,9,16,31,"NYK"
"178","Derrick Williams",5,4900000,23,"SF",80,240,1991-05-25,"us","4","University of Arizona",7,24,80,9,1435,254,565,0.45,44,150,0.293,210,415,0.506,0.488,194,256,0.758,47,249,296,75,29,9,61,69,746,"NYK"
"179","Jerian Grant",11,1572360,13,"PG",76,195,1992-10-09,"us","R","University of Notre Dame",9,23,76,6,1265,154,391,0.394,22,100,0.22,132,291,0.454,0.422,96,123,0.78,23,120,143,177,50,10,87,97,426,"NYK"
"180","Jose Calderon",4,7402812,3,"PG",75,200,1981-09-28,"es","10","",6,34,72,72,2024,209,455,0.459,84,203,0.414,125,252,0.496,0.552,42,48,0.875,22,207,229,299,63,7,87,135,544,"NYK"
"181","Kevin Seraphin",8,2800000,1,"C",81,285,1989-12-07,"gf","5","",12,26,48,0,526,84,205,0.41,0,2,0,84,203,0.414,0.41,19,23,0.826,31,95,126,47,8,36,43,67,187,"NYK"
"182","Kristaps Porzingis",6,4131720,6,"PF",87,240,1995-08-02,"lv","R","",4,20,72,72,2047,373,886,0.421,81,243,0.333,292,643,0.454,0.467,201,240,0.838,132,394,526,93,53,134,121,205,1028,"NYK"
"183","Kyle O'Quinn",7,3750000,9,"PF",82,250,1990-03-26,"us","3","Norfolk State University",11,25,65,1,764,129,271,0.476,5,22,0.227,124,249,0.498,0.485,46,60,0.767,76,174,250,72,20,49,61,107,309,"NYK"
"184","Lance Thomas",10,1650000,42,"PF",80,235,1988-04-24,"us","4","Duke University",8,27,59,5,1313,169,382,0.442,44,109,0.404,125,273,0.458,0.5,102,119,0.857,34,97,131,53,22,7,57,109,484,"NYK"
"185","Langston Galloway",14,845059,2,"PG",74,200,1991-12-09,"us","1","Saint Joseph's University",5,24,82,7,2033,231,588,0.393,77,224,0.344,154,364,0.423,0.458,86,114,0.754,43,245,288,207,77,22,61,177,625,"NYK"
"186","Lou Amundson",9,1650000,17,"PF",81,220,1982-12-07,"us","9","University of Nevada, Las Vegas",13,33,29,0,204,19,53,0.358,0,0,NA,19,53,0.358,0.358,14,27,0.519,23,26,49,12,6,7,15,44,52,"NYK"
"187","Robin Lopez",2,1.3e+07,8,"C",84,255,1988-04-01,"us","7","Stanford University",3,27,82,82,2219,357,662,0.539,0,1,0,357,661,0.54,0.539,128,161,0.795,268,334,602,114,16,129,133,182,842,"NYK"
"188","Sasha Vujacic",12,1356146,18,"SG",79,195,1984-03-08,"si","8","",10,31,61,25,908,106,277,0.383,52,143,0.364,54,134,0.403,0.477,32,39,0.821,26,123,149,84,34,5,44,83,296,"NYK"
"189","Thanasis Antetokounmpo",16,105888,43,"SF",79,205,1992-07-17,"gr","R","",15,23,2,0,6,3,4,0.75,0,1,0,3,3,1,0.75,0,0,NA,0,1,1,0,0,0,0,2,6,"NYK"
"190","Andrea Bargnani",10,1362900,9,"C",84,245,1985-10-26,"it","9","",11,30,46,0,634,127,279,0.455,3,16,0.188,124,263,0.471,0.461,47,57,0.825,28,69,97,18,4,9,26,61,304,"BRK"
"191","Bojan Bogdanovic",6,3425510,44,"SF",80,216,1989-04-18,"ba","1","",3,26,79,39,2115,324,749,0.433,129,338,0.382,195,411,0.474,0.519,110,132,0.833,36,219,255,99,29,5,115,119,887,"BRK"
"192","Brook Lopez",2,2e+07,11,"C",84,275,1988-04-01,"us","7","Stanford University",1,27,73,73,2457,591,1157,0.511,2,14,0.143,589,1143,0.515,0.512,317,403,0.787,204,369,573,147,58,124,175,215,1501,"BRK"
"193","Chris McCullough",12,1140240,1,"PF",83,200,1995-02-05,"us","R","Syracuse University",16,20,24,4,362,44,109,0.404,13,34,0.382,31,75,0.413,0.463,11,23,0.478,25,43,68,9,28,12,15,39,112,"BRK"
"194","Donald Sloan",13,1015421,15,"PG",75,205,1988-01-15,"us","4","Texas A&M University",7,28,61,33,1318,154,350,0.44,38,99,0.384,116,251,0.462,0.494,78,104,0.75,17,156,173,268,32,4,80,73,424,"BRK"
"195","Henry Sims",18,161622,14,"C",82,248,1990-03-27,"us","3","Georgetown University",17,25,14,4,263,33,77,0.429,0,0,NA,33,77,0.429,0.429,25,30,0.833,21,51,72,9,9,14,12,37,91,"BRK"
"196","Jarrett Jack",4,6300000,2,"PG",75,200,1983-10-28,"us","10","Georgia Institute of Technology",8,32,32,32,1027,140,358,0.391,31,102,0.304,109,256,0.426,0.434,100,112,0.893,9,127,136,236,34,7,94,77,411,"BRK"
"197","Markel Brown",16,845059,22,"SG",75,190,1992-01-29,"us","1","Oklahoma State University",9,24,62,6,982,127,322,0.394,38,121,0.314,89,201,0.443,0.453,71,94,0.755,23,99,122,91,38,15,54,94,363,"BRK"
"198","Rondae Hollis-Jefferson",11,1335480,24,"SF",79,220,1995-01-03,"us","R","University of Arizona",12,21,29,17,615,63,138,0.457,4,14,0.286,59,124,0.476,0.471,37,52,0.712,39,115,154,43,39,16,26,61,167,"BRK"
"199","Sergey Karasev",7,1599840,10,"SF",79,208,1993-10-26,"ru","2","",15,22,40,5,399,30,74,0.405,11,37,0.297,19,37,0.514,0.48,26,28,0.929,8,50,58,35,6,2,22,27,97,"BRK"
"200","Shane Larkin",8,1500000,0,"PG",71,175,1992-10-02,"us","2","University of Miami",5,23,78,17,1751,222,502,0.442,39,108,0.361,183,394,0.464,0.481,83,107,0.776,28,152,180,342,95,12,146,121,566,"BRK"
"201","Thaddeus Young",3,11200000,30,"PF",80,221,1988-06-21,"us","8","Georgia Institute of Technology",2,27,73,73,2407,495,963,0.514,7,30,0.233,488,933,0.523,0.518,105,163,0.644,176,484,660,135,112,37,136,182,1102,"BRK"
"202","Thomas Robinson",14,981300,41,"PF",82,237,1991-03-17,"us","3","University of Kansas",10,24,71,7,917,130,291,0.447,0,1,0,130,290,0.448,0.447,47,109,0.431,136,223,359,46,39,36,69,111,307,"BRK"
"203","Wayne Ellington",9,1500000,21,"SG",76,200,1987-10-29,"us","6","University of North Carolina",6,28,76,41,1615,218,561,0.389,96,268,0.358,122,293,0.416,0.474,54,63,0.857,20,154,174,83,48,5,45,82,586,"BRK"
"204","Willie Reed",15,947276,33,"PF",82,220,1990-05-16,"us","R","Saint Louis University",14,25,39,2,426,76,133,0.571,0,0,NA,76,133,0.571,0.571,30,55,0.545,49,73,122,10,6,30,16,47,182,"BRK"
"205","Carl Landry",3,6500000,7,"PF",81,248,1983-09-19,"us","8","Purdue University",12,32,36,12,569,139,250,0.556,6,13,0.462,133,237,0.561,0.568,67,91,0.736,49,97,146,32,12,9,22,69,351,"PHI"
"206","Christian Wood",22,305789,35,"PF",83,220,1995-09-27,"us","R","University of Nevada, Las Vegas",16,20,17,0,145,22,53,0.415,4,11,0.364,18,42,0.429,0.453,13,21,0.619,13,25,38,3,5,7,2,11,61,"PHI"
"207","Elton Brand",17,890693,42,"C",80,275,1979-03-11,"us","16","Duke University",14,36,17,1,225,31,72,0.431,0,1,0,31,71,0.437,0.431,8,9,0.889,9,54,63,18,9,8,11,32,70,"PHI"
"208","Hollis Thompson",16,947276,31,"SG",80,206,1991-04-03,"us","2","Georgetown University",1,24,77,17,2154,270,680,0.397,149,392,0.38,121,288,0.42,0.507,69,96,0.719,54,218,272,99,36,24,76,187,758,"PHI"
"209","Isaiah Canaan",15,947276,0,"SG",72,201,1991-05-21,"us","2","Murray State University",3,24,77,39,1966,260,722,0.36,176,485,0.363,84,237,0.354,0.482,150,180,0.833,20,154,174,137,56,12,91,133,846,"PHI"
"210","Ish Smith",12,1100602,1,"PG",72,175,1988-07-05,"us","5","Wake Forest University",7,27,50,50,1622,299,739,0.405,46,137,0.336,253,602,0.42,0.436,89,133,0.669,29,184,213,348,64,18,130,95,733,"PHI"
"211","Jahlil Okafor",5,4582680,8,"C",83,275,1995-12-15,"us","R","Duke University",9,20,53,48,1591,397,781,0.508,1,6,0.167,396,775,0.511,0.509,133,194,0.686,122,251,373,65,22,61,124,140,928,"PHI"
"212","Jerami Grant",19,845059,39,"SF",80,210,1994-03-12,"us","1","Syracuse University",2,21,77,52,2066,251,599,0.419,35,146,0.24,216,453,0.477,0.448,212,322,0.658,99,262,361,135,54,127,110,215,749,"PHI"
"213","Kendall Marshall",11,2144722,5,"PG",76,200,1991-08-19,"us","3","University of North Carolina",13,24,30,6,400,43,118,0.364,16,49,0.327,27,69,0.391,0.432,9,13,0.692,2,26,28,73,16,2,43,30,111,"PHI"
"214","Nerlens Noel",6,3457800,4,"C",83,228,1994-04-10,"us","1","University of Kentucky",4,21,67,62,1965,306,587,0.521,1,2,0.5,305,585,0.521,0.522,134,227,0.59,154,388,542,122,118,100,158,192,747,"PHI"
"215","Nik Stauskas",8,2869440,11,"SG",78,205,1993-10-07,"ca","1","University of Michigan",6,22,73,35,1809,210,545,0.385,106,325,0.326,104,220,0.473,0.483,91,118,0.771,23,160,183,138,44,20,94,115,617,"PHI"
"216","Richaun Holmes",13,1050000,22,"PF",82,245,1993-10-15,"us","R","Bowling Green State University",10,22,51,1,702,114,222,0.514,8,44,0.182,106,178,0.596,0.532,51,74,0.689,62,73,135,33,19,40,32,92,287,"PHI"
"217","Robert Covington",14,1e+06,33,"SF",81,215,1990-12-14,"us","2","Tennessee State University",5,25,67,49,1903,274,712,0.385,170,482,0.353,104,230,0.452,0.504,140,177,0.791,65,354,419,97,105,40,143,232,858,"PHI"
"218","Sonny Weems",9,2800000,9,"SF",78,205,1986-07-08,"us","3","University of Arkansas",18,29,7,0,78,7,21,0.333,2,9,0.222,5,12,0.417,0.381,1,2,0.5,1,11,12,2,0,0,4,7,17,"PHI"
"219","T.J. McConnell",21,525093,12,"PG",74,200,1992-03-25,"us","R","University of Arizona",8,23,81,17,1606,218,464,0.47,31,89,0.348,187,375,0.499,0.503,26,41,0.634,43,207,250,367,95,10,140,114,493,"PHI"
"220","Tony Wroten",10,2179354,1,"PG",78,205,1993-04-13,"us","3","University of Washington",17,22,8,3,144,22,65,0.338,3,17,0.176,19,48,0.396,0.362,20,37,0.541,2,19,21,20,3,0,29,11,67,"PHI"
"221","Anderson Varejao",16,458575,18,"C",82,273,1982-09-28,"br","11","",14,33,22,0,186,21,48,0.438,0,0,NA,21,48,0.438,0.438,16,29,0.552,13,37,50,15,5,5,6,35,58,"GSW"
"222","Andre Iguodala",4,11710456,9,"SF",78,215,1984-01-28,"us","11","University of Arizona",5,32,65,1,1732,176,368,0.478,54,154,0.351,122,214,0.57,0.552,51,83,0.614,52,211,263,219,73,19,79,102,457,"GSW"
"223","Andrew Bogut",3,1.2e+07,12,"C",84,260,1984-11-28,"au","10","University of Utah",7,31,70,66,1451,175,279,0.627,1,1,1,174,278,0.626,0.629,24,50,0.48,121,371,492,162,33,114,83,221,375,"GSW"
"224","Brandon Rush",12,1270964,4,"SG",78,220,1985-07-07,"us","7","University of Kansas",9,30,72,25,1055,111,260,0.427,65,157,0.414,46,103,0.447,0.552,18,28,0.643,21,160,181,57,20,23,33,57,305,"GSW"
"225","Draymond Green",2,14300000,23,"PF",79,230,1990-03-04,"us","3","Michigan State University",1,25,81,81,2808,401,819,0.49,100,258,0.388,301,561,0.537,0.551,229,329,0.696,134,635,769,598,119,113,259,240,1131,"GSW"
"226","Festus Ezeli",11,2008748,31,"C",83,255,1989-10-21,"ng","2","Vanderbilt University",11,26,46,13,770,125,228,0.548,0,0,NA,125,228,0.548,0.548,70,132,0.53,91,166,257,32,18,50,38,94,320,"GSW"
"227","Harrison Barnes",8,3873398,40,"SF",80,210,1992-05-30,"us","3","University of North Carolina",4,23,66,59,2042,295,633,0.466,82,214,0.383,213,419,0.508,0.531,102,134,0.761,77,248,325,117,41,10,57,136,774,"GSW"
"228","Ian Clark",14,947276,21,"SG",75,175,1991-03-07,"us","2","Belmont University",12,24,66,1,578,89,202,0.441,30,84,0.357,59,118,0.5,0.515,28,34,0.824,13,55,68,64,17,13,43,58,236,"GSW"
"229","James Michael McAdoo",15,845059,20,"PF",81,230,1993-01-04,"us","1","University of North Carolina",13,23,41,1,262,45,84,0.536,1,2,0.5,44,82,0.537,0.542,26,49,0.531,30,28,58,17,10,8,16,39,117,"GSW"
"230","Kevon Looney",13,1131960,36,"PF",81,220,1996-02-06,"us","R","University of California, Los Angeles",16,19,5,0,21,4,7,0.571,1,2,0.5,3,5,0.6,0.643,0,0,NA,4,6,10,0,0,0,1,2,9,"GSW"
"231","Klay Thompson",1,15500000,11,"SG",79,215,1990-02-08,"us","4","Washington State University",3,25,80,80,2666,651,1386,0.47,276,650,0.425,375,736,0.51,0.569,193,221,0.873,35,271,306,166,60,49,138,152,1771,"GSW"
"232","Leandro Barbosa",10,2500000,19,"SG",75,194,1982-11-28,"br","12","",8,33,68,0,1079,171,370,0.462,39,110,0.355,132,260,0.508,0.515,52,62,0.839,28,89,117,82,44,10,53,107,433,"GSW"
"233","Marreese Speights",9,3815000,5,"C",82,255,1987-08-04,"us","7","University of Florida",10,28,72,0,832,197,456,0.432,24,62,0.387,173,394,0.439,0.458,94,114,0.825,77,162,239,61,19,34,66,117,512,"GSW"
"234","Shaun Livingston",7,5543725,34,"PG",79,192,1985-09-11,"us","10","",6,30,78,3,1520,203,379,0.536,2,12,0.167,201,367,0.548,0.538,80,93,0.86,42,127,169,237,57,27,78,140,488,"GSW"
